period_id,theory_family,synthesis_default,synthesis_hard_strategic,synthesis_doctrinal,synthesis_academic,synthesis_balanced,delta_max,sensitivity_status
1945_1962,realism,90.4,91.45,89.5,88,89.65,3.45,robuste
1945_1962,geopolitics_imperialism_reason_of_state,74.25,76.05,73.05,68.65,72.85,7.4,moderement_sensible
1945_1962,liberalism,70.5,70,71.25,70.25,70.75,1.25,robuste
1945_1962,marxism_dependency_structuralism,69.3,68.55,69.9,71.2,69.85,2.65,robuste
1991_2001,liberalism,89.95,89.65,90.55,89.15,90.05,1.4,robuste
1991_2001,constructivism,75.45,73.95,76.35,80.55,76.65,6.6,moderement_sensible
1991_2001,realism,72.8,73.45,71.3,75.4,72.65,4.1,robuste
1991_2001,english_school,68.55,68.05,69.15,68.95,68.85,1.1,robuste
1991_2001,critical_postcolonial_feminist,59.5,58.8,59.05,65.65,60.35,6.85,moderement_sensible
1991_2001,geopolitics_imperialism_reason_of_state,51.75,52.7,50.7,50.6,51.15,2.1,robuste
1991_2001,marxism_dependency_structuralism,47.85,47.75,46.95,52.35,48.25,5.4,moderement_sensible
