year,period_id,entity_id,scope,layer,theory_family_id,raw_score,normalized_score,confidence_label,derivation_status
1914,1914_1919,global_system,global,synthesis,marxism_dependency_structuralism,60.5,41.2547,high,derived_constant
1915,1914_1919,global_system,global,synthesis,marxism_dependency_structuralism,60.5,41.2547,high,derived_constant
1916,1914_1919,global_system,global,synthesis,marxism_dependency_structuralism,60.5,41.2547,high,derived_constant
1917,1914_1919,global_system,global,synthesis,marxism_dependency_structuralism,60.5,41.2547,high,derived_constant
1918,1914_1919,global_system,global,synthesis,marxism_dependency_structuralism,60.5,41.2547,high,derived_constant
1919,1914_1919,global_system,global,synthesis,marxism_dependency_structuralism,60.5,41.2547,high,derived_constant
1914,1914_1919,global_system,global,synthesis,geopolitics_imperialism_reason_of_state,86.15,58.7453,high,derived_constant
1915,1914_1919,global_system,global,synthesis,geopolitics_imperialism_reason_of_state,86.15,58.7453,high,derived_constant
1916,1914_1919,global_system,global,synthesis,geopolitics_imperialism_reason_of_state,86.15,58.7453,high,derived_constant
1917,1914_1919,global_system,global,synthesis,geopolitics_imperialism_reason_of_state,86.15,58.7453,high,derived_constant
1918,1914_1919,global_system,global,synthesis,geopolitics_imperialism_reason_of_state,86.15,58.7453,high,derived_constant
1919,1914_1919,global_system,global,synthesis,geopolitics_imperialism_reason_of_state,86.15,58.7453,high,derived_constant
1919,1919_1939,global_system,global,synthesis,liberalism,71.25,34.1645,high,derived_constant
1920,1919_1939,global_system,global,synthesis,liberalism,71.25,34.1645,high,derived_constant
1921,1919_1939,global_system,global,synthesis,liberalism,71.25,34.1645,high,derived_constant
1922,1919_1939,global_system,global,synthesis,liberalism,71.25,34.1645,high,derived_constant
1923,1919_1939,global_system,global,synthesis,liberalism,71.25,34.1645,high,derived_constant
1924,1919_1939,global_system,global,synthesis,liberalism,71.25,34.1645,high,derived_constant
1925,1919_1939,global_system,global,synthesis,liberalism,71.25,34.1645,high,derived_constant
1926,1919_1939,global_system,global,synthesis,liberalism,71.25,34.1645,high,derived_constant
1927,1919_1939,global_system,global,synthesis,liberalism,71.25,34.1645,high,derived_constant
1928,1919_1939,global_system,global,synthesis,liberalism,71.25,34.1645,high,derived_constant
1929,1919_1939,global_system,global,synthesis,liberalism,71.25,34.1645,high,derived_constant
1930,1919_1939,global_system,global,synthesis,liberalism,71.25,34.1645,high,derived_constant
1931,1919_1939,global_system,global,synthesis,liberalism,71.25,34.1645,high,derived_constant
1932,1919_1939,global_system,global,synthesis,liberalism,71.25,34.1645,high,derived_constant
1933,1919_1939,global_system,global,synthesis,liberalism,71.25,34.1645,high,derived_constant
1934,1919_1939,global_system,global,synthesis,liberalism,71.25,34.1645,high,derived_constant
1935,1919_1939,global_system,global,synthesis,liberalism,71.25,34.1645,high,derived_constant
1936,1919_1939,global_system,global,synthesis,liberalism,71.25,34.1645,high,derived_constant
1937,1919_1939,global_system,global,synthesis,liberalism,71.25,34.1645,high,derived_constant
1938,1919_1939,global_system,global,synthesis,liberalism,71.25,34.1645,high,derived_constant
1939,1919_1939,global_system,global,synthesis,liberalism,71.25,34.1645,high,derived_constant
1919,1919_1939,global_system,global,synthesis,marxism_dependency_structuralism,63.95,30.6641,high,derived_constant
