period_id,entity_id,scope,layer,theory_family_id,raw_score,normalized_score,maturity_status
1919_1939,british_empire,entity,synthesis,liberalism,79.57,37.7987,generated
1919_1939,british_empire,entity,synthesis,marxism_dependency_structuralism,54.27,25.7802,generated
1919_1939,british_empire,entity,synthesis,geopolitics_imperialism_reason_of_state,76.67,36.4211,generated
1919_1939,france,entity,synthesis,liberalism,79.57,40.2866,generated
1919_1939,france,entity,synthesis,marxism_dependency_structuralism,54.27,27.4771,generated
1919_1939,france,entity,synthesis,geopolitics_imperialism_reason_of_state,63.67,32.2363,generated
1919_1939,germany_revisionist,entity,synthesis,liberalism,61.57,31.1731,generated
1919_1939,germany_revisionist,entity,synthesis,marxism_dependency_structuralism,54.27,27.4771,generated
1919_1939,germany_revisionist,entity,synthesis,geopolitics_imperialism_reason_of_state,81.67,41.3498,generated
1919_1939,united_states,entity,synthesis,liberalism,79.57,40.2866,generated
1919_1939,united_states,entity,synthesis,marxism_dependency_structuralism,54.27,27.4771,generated
1919_1939,united_states,entity,synthesis,geopolitics_imperialism_reason_of_state,63.67,32.2363,generated
1919_1939,soviet_union,entity,synthesis,liberalism,61.57,31.1731,generated
1919_1939,soviet_union,entity,synthesis,marxism_dependency_structuralism,72.27,36.5906,generated
1919_1939,soviet_union,entity,synthesis,geopolitics_imperialism_reason_of_state,63.67,32.2363,generated
1919_1939,italy_japan_revisionist,entity,synthesis,liberalism,61.57,31.1731,generated
1919_1939,italy_japan_revisionist,entity,synthesis,marxism_dependency_structuralism,54.27,27.4771,generated
1919_1939,italy_japan_revisionist,entity,synthesis,geopolitics_imperialism_reason_of_state,81.67,41.3498,generated
1919_1939,colonial_world,entity,synthesis,liberalism,61.57,31.1731,generated
1919_1939,colonial_world,entity,synthesis,marxism_dependency_structuralism,72.27,36.5906,generated
1919_1939,colonial_world,entity,synthesis,geopolitics_imperialism_reason_of_state,63.67,32.2363,generated
1919_1939,league_of_nations,entity,synthesis,liberalism,79.57,40.2866,generated
1919_1939,league_of_nations,entity,synthesis,marxism_dependency_structuralism,54.27,27.4771,generated
1919_1939,league_of_nations,entity,synthesis,geopolitics_imperialism_reason_of_state,63.67,32.2363,generated
1919_1939,global_finance_trade,entity,synthesis,liberalism,79.57,36.9217,generated
1919_1939,global_finance_trade,entity,synthesis,marxism_dependency_structuralism,72.27,33.5344,generated
1919_1939,global_finance_trade,entity,synthesis,geopolitics_imperialism_reason_of_state,63.67,29.5439,generated
1939_1945,allied_powers,entity,synthesis,realism,94.87,33.9634,generated
1939_1945,allied_powers,entity,synthesis,liberalism,49.57,17.746,generated
1939_1945,allied_powers,entity,synthesis,marxism_dependency_structuralism,56.57,20.252,generated
1939_1945,allied_powers,entity,synthesis,geopolitics_imperialism_reason_of_state,78.32,28.0385,generated
1939_1945,axis_powers,entity,synthesis,realism,94.87,34.2986,generated
1939_1945,axis_powers,entity,synthesis,liberalism,31.84,11.5112,generated
