period_id,entity_id,scope,layer,theory_family_id,raw_score,normalized_score,maturity_status
1914_1919,global_system,global,synthesis,marxism_dependency_structuralism,60.5,41.2547,generated
1914_1919,global_system,global,synthesis,geopolitics_imperialism_reason_of_state,86.15,58.7453,generated
1919_1939,global_system,global,synthesis,liberalism,71.25,34.1645,generated
1919_1939,global_system,global,synthesis,marxism_dependency_structuralism,63.95,30.6641,generated
1919_1939,global_system,global,synthesis,geopolitics_imperialism_reason_of_state,73.35,35.1714,generated
1939_1945,global_system,global,synthesis,realism,91.65,31.9171,generated
1939_1945,global_system,global,synthesis,liberalism,41.25,14.3653,generated
1939_1945,global_system,global,synthesis,marxism_dependency_structuralism,66.25,23.0716,generated
1939_1945,global_system,global,synthesis,geopolitics_imperialism_reason_of_state,88.0,30.646,generated
1945_1962,global_system,global,synthesis,realism,90.4,29.6929,generated
1945_1962,global_system,global,synthesis,liberalism,70.5,23.1565,generated
1945_1962,global_system,global,synthesis,marxism_dependency_structuralism,69.3,22.7624,generated
1945_1962,global_system,global,synthesis,geopolitics_imperialism_reason_of_state,74.25,24.3882,generated
1962_1979,global_system,global,synthesis,realism,84.35,22.7328,generated
1962_1979,global_system,global,synthesis,liberalism,66.5,17.9221,generated
1962_1979,global_system,global,synthesis,marxism_dependency_structuralism,83.65,22.5441,generated
1962_1979,global_system,global,synthesis,english_school,65.5,17.6526,generated
1962_1979,global_system,global,synthesis,geopolitics_imperialism_reason_of_state,71.05,19.1484,generated
1979_1991,global_system,global,synthesis,realism,87.45,21.3189,generated
1979_1991,global_system,global,synthesis,liberalism,70.35,17.1502,generated
1979_1991,global_system,global,synthesis,marxism_dependency_structuralism,61.45,14.9805,generated
1979_1991,global_system,global,synthesis,english_school,58.05,14.1516,generated
1979_1991,global_system,global,synthesis,critical_postcolonial_feminist,61.55,15.0049,generated
1979_1991,global_system,global,synthesis,geopolitics_imperialism_reason_of_state,71.35,17.394,generated
1991_2001,global_system,global,synthesis,realism,72.8,15.6273,generated
1991_2001,global_system,global,synthesis,liberalism,89.95,19.3088,generated
1991_2001,global_system,global,synthesis,marxism_dependency_structuralism,47.85,10.2715,generated
1991_2001,global_system,global,synthesis,constructivism,75.45,16.1962,generated
1991_2001,global_system,global,synthesis,english_school,68.55,14.715,generated
1991_2001,global_system,global,synthesis,critical_postcolonial_feminist,59.5,12.7724,generated
1991_2001,global_system,global,synthesis,geopolitics_imperialism_reason_of_state,51.75,11.1087,generated
2001_2008,global_system,global,synthesis,realism,81.75,18.3255,generated
2001_2008,global_system,global,synthesis,liberalism,72.55,16.2632,generated
2001_2008,global_system,global,synthesis,marxism_dependency_structuralism,45.45,10.1883,generated
2001_2008,global_system,global,synthesis,constructivism,64.4,14.4362,generated
2001_2008,global_system,global,synthesis,english_school,57.45,12.8783,generated
2001_2008,global_system,global,synthesis,critical_postcolonial_feminist,66.05,14.8061,generated
2001_2008,global_system,global,synthesis,geopolitics_imperialism_reason_of_state,58.45,13.1024,generated
2008_2014,global_system,global,synthesis,realism,76.35,16.5242,generated
2008_2014,global_system,global,synthesis,liberalism,66.95,14.4898,generated
2008_2014,global_system,global,synthesis,marxism_dependency_structuralism,63.5,13.7431,generated
2008_2014,global_system,global,synthesis,constructivism,61.65,13.3427,generated
2008_2014,global_system,global,synthesis,english_school,56.65,12.2606,generated
2008_2014,global_system,global,synthesis,critical_postcolonial_feminist,71.0,15.3663,generated
2008_2014,global_system,global,synthesis,geopolitics_imperialism_reason_of_state,65.95,14.2733,generated
2014_2022,global_system,global,synthesis,realism,85.75,18.4846,generated
2014_2022,global_system,global,synthesis,liberalism,58.5,12.6105,generated
2014_2022,global_system,global,synthesis,marxism_dependency_structuralism,55.45,11.953,generated
2014_2022,global_system,global,synthesis,constructivism,63.8,13.753,generated
2014_2022,global_system,global,synthesis,english_school,52.6,11.3387,generated
2014_2022,global_system,global,synthesis,critical_postcolonial_feminist,67.65,14.5829,generated
2014_2022,global_system,global,synthesis,geopolitics_imperialism_reason_of_state,80.15,17.2774,generated
2022_2026,global_system,global,synthesis,realism,89.45,19.148,generated
2022_2026,global_system,global,synthesis,liberalism,53.8,11.5166,generated
2022_2026,global_system,global,synthesis,marxism_dependency_structuralism,56.2,12.0304,generated
2022_2026,global_system,global,synthesis,constructivism,61.85,13.2399,generated
2022_2026,global_system,global,synthesis,english_school,50.35,10.7781,generated
2022_2026,global_system,global,synthesis,critical_postcolonial_feminist,70.75,15.145,generated
2022_2026,global_system,global,synthesis,geopolitics_imperialism_reason_of_state,84.75,18.1419,generated
